(1.0), [4.1, 3.6, 2.4, 3.8]
(2.0), [0.6, 4.0, 2.4, 3.9]
(3.0), [2.5, 0.2, 1.4, 4.8]
(4.0), [8.1, 4.1, 3.7, 5.2]
(5.0), [6.5, 1.8, 6.6, 8.5]
(6.0), [0.2, 2.6, 3.9, 4.7]
(7.0), [3.9, 3.0, 3.2, 9.9]
(8.0), [8.4, 2.9, 0.6, 0.1]
(9.0), [5.6, 5.4, 1.0, 5.9]
(10.0), [6.8, 4.3, 4.0, 6.7]
(11.0), [7.2, 5.2, 9.3, 2.7]
(12.0), [8.9, 6.5, 5.2, 0.7]
(13.0), [5.8, 5.1, 3.6, 1.1]
(14.0), [4.4, 0.6, 6.1, 4.3]
(15.0), [0.0, 5.7, 3.7, 6.1]
(16.0), [5.7, 8.1, 8.8, 3.0]
(17.0), [0.3, 3.9, 5.2, 0.2]
(18.0), [6.1, 0.1, 2.6, 7.6]
(19.0), [0.7, 3.0, 4.7, 5.8]
(20.0), [8.1, 3.0, 4.8, 9.4]
(21.0), [3.5, 2.3, 9.0, 6.5]
(22.0), [7.3, 7.4, 3.5, 1.6]
(23.0), [1.9, 4.8, 4.4, 8.3]
(24.0), [0.1, 7.1, 5.8, 1.9]
(25.0), [5.8, 1.9, 5.0, 5.0]
(26.0), [8.0, 8.0, 2.8, 2.1]
(27.0), [4.6, 9.7, 9.3, 5.0]
(28.0), [2.8, 9.8, 4.0, 9.9]
(29.0), [9.2, 6.8, 3.1, 7.5]
(30.0), [3.1, 1.6, 6.0, 1.5]
(31.0), [3.1, 9.9, 8.9, 6.7]
(32.0), [6.7, 8.6, 4.2, 5.5]
(33.0), [3.8, 0.1, 9.9, 8.7]
(34.0), [6.3, 7.4, 4.8, 8.2]
(35.0), [3.2, 5.3, 0.7, 5.7]
(36.0), [1.1, 3.1, 8.1, 6.4]
(37.0), [3.6, 4.0, 2.4, 6.6]
(38.0), [5.1, 7.1, 2.9, 1.0]
(39.0), [7.4, 8.0, 3.0, 1.3]
(40.0), [2.4, 6.4, 6.8, 9.3]
(41.0), [1.2, 6.5, 3.5, 5.8]
(42.0), [0.7, 4.0, 5.0, 0.7]
(43.0), [7.8, 2.9, 4.1, 8.5]
(44.0), [5.7, 10.0, 1.5, 5.9]
(45.0), [6.5, 3.0, 2.7, 9.7]
(46.0), [9.7, 8.3, 3.0, 0.1]
(47.0), [3.3, 5.6, 2.1, 2.5]
(48.0), [5.5, 9.9, 6.3, 4.2]
(49.0), [2.0, 7.4, 2.8, 3.6]
(50.0), [4.7, 3.2, 0.0, 9.0]
(51.0), [9.0, 3.5, 3.9, 1.7]
(52.0), [8.8, 1.1, 10.0, 6.3]
(53.0), [2.5, 2.3, 1.5, 4.9]
(54.0), [6.2, 7.7, 10.0, 4.0]
(55.0), [3.5, 5.5, 8.0, 2.4]
(56.0), [3.1, 2.3, 0.4, 3.7]
(57.0), [4.3, 1.5, 7.6, 0.3]
(58.0), [2.3, 4.4, 8.8, 7.6]
(59.0), [6.0, 2.6, 7.2, 4.9]
(60.0), [5.5, 7.6, 5.0, 9.8]
(61.0), [4.1, 1.1, 5.0, 8.8]
(62.0), [5.3, 8.8, 6.9, 4.5]
(63.0), [7.8, 3.6, 7.5, 0.5]
(64.0), [8.1, 5.4, 2.6, 8.8]
(65.0), [1.1, 7.2, 5.7, 5.9]
(66.0), [1.8, 7.4, 2.0, 6.7]
(67.0), [1.0, 5.1, 5.0, 0.6]
(68.0), [3.5, 9.7, 7.1, 5.6]
(69.0), [5.0, 5.5, 4.1, 6.9]
(70.0), [6.4, 7.0, 1.9, 2.1]
(71.0), [9.7, 5.6, 1.3, 3.4]
(72.0), [0.7, 5.1, 5.7, 7.7]
(73.0), [0.4, 1.4, 8.8, 9.3]
(74.0), [8.5, 7.6, 4.9, 4.0]
(75.0), [0.2, 4.7, 4.1, 3.7]
(76.0), [5.5, 4.7, 9.4, 9.0]
(77.0), [5.7, 8.3, 7.3, 8.7]
(78.0), [10.0, 0.9, 7.7, 10.0]
(79.0), [5.4, 0.9, 4.7, 7.8]
(80.0), [5.3, 8.0, 1.6, 7.8]
(81.0), [8.8, 6.0, 1.6, 2.2]
(82.0), [6.8, 5.8, 9.2, 4.8]
(83.0), [5.4, 5.7, 2.2, 2.3]
(84.0), [5.4, 6.7, 9.6, 0.7]
(85.0), [3.0, 7.2, 9.7, 3.9]
(86.0), [3.4, 5.2, 3.9, 5.0]
(87.0), [7.0, 0.5, 7.2, 6.9]
(88.0), [9.2, 3.5, 4.7, 3.9]
(89.0), [1.5, 5.6, 6.7, 5.5]
(90.0), [3.4, 0.0, 4.9, 1.0]
(91.0), [8.6, 9.6, 7.5, 7.5]
(92.0), [9.1, 3.5, 8.6, 6.3]
(93.0), [4.2, 4.0, 5.6, 8.3]
(94.0), [4.1, 9.7, 7.1, 4.8]
(95.0), [3.4, 7.0, 8.8, 8.3]
(96.0), [5.2, 0.9, 9.8, 6.3]
(97.0), [4.5, 9.0, 0.7, 3.2]
(98.0), [3.4, 7.4, 1.4, 6.5]
(99.0), [9.7, 3.4, 7.0, 9.9]
(100.0), [9.6, 9.4, 4.3, 2.8]
(101.0), [6.0, 7.3, 2.6, 5.2]
(102.0), [8.8, 4.6, 1.5, 8.0]
(103.0), [5.4, 2.8, 6.5, 3.5]
(104.0), [0.1, 6.2, 1.4, 1.7]
(105.0), [5.7, 7.2, 8.7, 0.9]
(106.0), [1.5, 2.3, 0.2, 3.6]
(107.0), [4.5, 7.4, 3.6, 0.3]
(108.0), [9.1, 1.3, 1.0, 6.9]
(109.0), [7.9, 3.3, 4.9, 6.5]
(110.0), [4.0, 8.6, 7.6, 6.9]
(111.0), [2.9, 9.9, 8.9, 9.6]
(112.0), [9.9, 8.7, 9.7, 0.2]
(113.0), [0.0, 4.0, 0.3, 5.0]
(114.0), [1.4, 9.6, 9.5, 1.9]
(115.0), [6.9, 7.2, 10.0, 2.7]
(116.0), [8.4, 10.0, 6.9, 4.2]
(117.0), [5.1, 6.0, 5.0, 4.3]
(118.0), [3.6, 2.7, 2.4, 6.8]
(119.0), [1.3, 8.4, 8.6, 7.7]
(120.0), [4.3, 1.0, 8.6, 9.7]
(121.0), [7.1, 6.2, 3.3, 6.4]
(122.0), [7.8, 6.5, 9.0, 9.7]
(123.0), [1.6, 0.2, 3.8, 9.4]
(124.0), [6.9, 3.3, 2.4, 8.9]
